"","x"
"correlation.C2.mean",0.21619549625546
"correlation.C2.sd",0.119361070360123
"correlation.C3.mean",0.73625
"correlation.C3.sd",0.0165563478557618
"correlation.C4",0.966666666666667
"linearity.L1.mean",0.337165714502055
"linearity.L1.sd",0.211686513247365
"linearity.L2.mean",0.158305185676963
"linearity.L2.sd",NA
"linearity.L3.mean",0.139529267899896
"linearity.L3.sd",0.141925687074598
"smoothness.S1.mean",0.368200836820084
"smoothness.S1.sd",0.482821574050157
"smoothness.S2.mean",0.32126375820135
"smoothness.S2.sd",0.0860573372157921
"smoothness.S3.mean",0.3375
"smoothness.S3.sd",0.473845215975564
"smoothness.S4.mean",0.130430465214409
"smoothness.S4.sd",0.336591881329824
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0333333333333333
"dimensionality.T4",0.8
