"","x"
"correlation.C2.mean",0.245632777346439
"correlation.C2.sd",0.149941995261884
"correlation.C3.mean",0.743910256410256
"correlation.C3.sd",0.025035587206627
"correlation.C4",0.7875
"linearity.L1.mean",0.265342149637157
"linearity.L1.sd",0.186135924217724
"linearity.L2.mean",0.104908677898935
"linearity.L2.sd",NA
"linearity.L3.mean",0.088192842406381
"linearity.L3.sd",0.108399375880925
"smoothness.S1.mean",0.251046025104602
"smoothness.S1.sd",0.434069227558586
"smoothness.S2.mean",0.289651470498517
"smoothness.S2.sd",0.0954471133477822
"smoothness.S3.mean",0.254166666666667
"smoothness.S3.sd",0.436301656295176
"smoothness.S4.mean",0.0259973402276697
"smoothness.S4.sd",0.157234415062148
"dimensionality.T2",0.0541666666666667
"dimensionality.T3",0.025
"dimensionality.T4",0.461538461538462
