"","x"
"correlation.C2.mean",0.607555218675557
"correlation.C2.sd",0.0633034112477684
"correlation.C3.mean",0.745833333333333
"correlation.C3.sd",0.0131761569173682
"correlation.C4",0.829166666666667
"linearity.L1.mean",0.310192446534895
"linearity.L1.sd",0.199119053631104
"linearity.L2.mean",0.135702549749921
"linearity.L2.sd",NA
"linearity.L3.mean",0.115809929603754
"linearity.L3.sd",0.110369652269503
"smoothness.S1.mean",0.171548117154812
"smoothness.S1.sd",0.37738217341015
"smoothness.S2.mean",0.175815421668617
"smoothness.S2.sd",0.0955602807638492
"smoothness.S3.mean",0.145833333333333
"smoothness.S3.sd",0.353676644350057
"smoothness.S4.mean",0.131603848639631
"smoothness.S4.sd",0.337228701554298
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0125
"dimensionality.T4",0.3
