"","x"
"correlation.C2.mean",0.265524616338143
"correlation.C2.sd",0.0631351968090035
"correlation.C3.mean",0.688333333333333
"correlation.C3.sd",0.00548567157170317
"correlation.C4",1
"linearity.L1.mean",0.230464771605295
"linearity.L1.sd",0.139829205777111
"linearity.L2.mean",0.0725847502110541
"linearity.L2.sd",NA
"linearity.L3.mean",0.0523363096658819
"linearity.L3.sd",0.0551742009831367
"smoothness.S1.mean",0.221757322175732
"smoothness.S1.sd",0.415863940843976
"smoothness.S2.mean",0.329329587010085
"smoothness.S2.sd",0.0732651421152273
"smoothness.S3.mean",0.204166666666667
"smoothness.S3.sd",0.403933760121939
"smoothness.S4.mean",0.0226050865438552
"smoothness.S4.sd",0.14552098225631
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0416666666666667
"dimensionality.T4",1
