"","x"
"correlation.C2.mean",0.15874141038227
"correlation.C2.sd",0.155398862449598
"correlation.C3.mean",0.706315789473684
"correlation.C3.sd",0.0359089166140899
"correlation.C4",0.808
"linearity.L1.mean",0.196642853138543
"linearity.L1.sd",0.150892105500412
"linearity.L2.mean",0.0613457654828048
"linearity.L2.sd",NA
"linearity.L3.mean",0.0506772710181043
"linearity.L3.sd",0.0756800588451143
"smoothness.S1.mean",0.0923694779116466
"smoothness.S1.sd",0.289837962140773
"smoothness.S2.mean",0.166797997443042
"smoothness.S2.sd",0.0517228647506187
"smoothness.S3.mean",0.072
"smoothness.S3.sd",0.259006442679323
"smoothness.S4.mean",0.00954890248208533
"smoothness.S4.sd",0.0924560815580795
"dimensionality.T2",0.076
"dimensionality.T3",0.064
"dimensionality.T4",0.842105263157895
