"","x"
"correlation.C2.mean",0.150887419332519
"correlation.C2.sd",0.0847924452976142
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.440997022416863
"linearity.L1.sd",0.161644697703919
"linearity.L2.mean",0.220498511208432
"linearity.L2.sd",NA
"linearity.L3.mean",0.211267301469103
"linearity.L3.sd",0.122852254944682
"smoothness.S1.mean",0.200836820083682
"smoothness.S1.sd",0.401045973284312
"smoothness.S2.mean",0.192369557879422
"smoothness.S2.sd",0.208552565367609
"smoothness.S3.mean",0.125
"smoothness.S3.sd",0.331410072241722
"smoothness.S4.mean",0.211810608729935
"smoothness.S4.sd",0.408241602686949
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0208333333333333
"dimensionality.T4",0.5
