"","x"
"correlation.C2.mean",0.296817879637072
"correlation.C2.sd",0.0541507924717121
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.193617828507286
"linearity.L1.sd",0.147390738963603
"linearity.L2.mean",0.0591213766567296
"linearity.L2.sd",NA
"linearity.L3.mean",0.0449554766554856
"linearity.L3.sd",0.0575309760510428
"smoothness.S1.mean",0.0669456066945607
"smoothness.S1.sd",0.25018961608215
"smoothness.S2.mean",0.251441632253216
"smoothness.S2.sd",0.202637405772146
"smoothness.S3.mean",0.0375
"smoothness.S3.sd",0.190380592168627
"smoothness.S4.mean",0.19701917702748
"smoothness.S4.sd",0.398160232959418
"dimensionality.T2",0.05
"dimensionality.T3",0.0125
"dimensionality.T4",0.25
