dataset,model,scaling,score
mnist_3-5_6d-250,QuantumKitchenSinks,0.01,0.32
mnist_3-5_6d-250,QuantumKitchenSinks,0.1,0.404
mnist_3-5_6d-250,QuantumKitchenSinks,0.3,0.904
mnist_3-5_6d-250,QuantumKitchenSinks,0.6,0.952
mnist_3-5_6d-250,QuantumKitchenSinks,1.0,0.972
mnist_3-5_6d-250,QuantumKitchenSinks,1.5,0.972
mnist_3-5_6d-250,QuantumKitchenSinks,3.0,0.936
mnist_3-5_6d-250,QuantumKitchenSinks,10.0,0.592
mnist_3-5_6d-250,QuantumKitchenSinks,0.01,0.452
mnist_3-5_6d-250,QuantumKitchenSinks,0.1,0.512
mnist_3-5_6d-250,QuantumKitchenSinks,0.3,0.44
mnist_3-5_6d-250,QuantumKitchenSinks,0.6,0.788
mnist_3-5_6d-250,QuantumKitchenSinks,1.0,0.904
mnist_3-5_6d-250,QuantumKitchenSinks,1.5,0.952
mnist_3-5_6d-250,QuantumKitchenSinks,3.0,0.9
mnist_3-5_6d-250,QuantumKitchenSinks,10.0,0.568
mnist_3-5_6d-250,QuantumKitchenSinks,0.01,0.452
mnist_3-5_6d-250,QuantumKitchenSinks,0.1,0.548
mnist_3-5_6d-250,QuantumKitchenSinks,0.3,0.268
mnist_3-5_6d-250,QuantumKitchenSinks,0.6,0.844
mnist_3-5_6d-250,QuantumKitchenSinks,1.0,0.948
mnist_3-5_6d-250,QuantumKitchenSinks,1.5,0.952
mnist_3-5_6d-250,QuantumKitchenSinks,3.0,0.928
mnist_3-5_6d-250,QuantumKitchenSinks,10.0,0.548
mnist_3-5_6d-250,QuantumKitchenSinks,0.01,0.548
mnist_3-5_6d-250,QuantumKitchenSinks,0.1,0.472
mnist_3-5_6d-250,QuantumKitchenSinks,0.3,0.336
mnist_3-5_6d-250,QuantumKitchenSinks,0.6,0.808
mnist_3-5_6d-250,QuantumKitchenSinks,1.0,0.932
mnist_3-5_6d-250,QuantumKitchenSinks,1.5,0.952
mnist_3-5_6d-250,QuantumKitchenSinks,3.0,0.888
mnist_3-5_6d-250,QuantumKitchenSinks,10.0,0.54
mnist_3-5_6d-250,QuantumKitchenSinks,0.01,0.452
mnist_3-5_6d-250,QuantumKitchenSinks,0.1,0.452
mnist_3-5_6d-250,QuantumKitchenSinks,0.3,0.784
mnist_3-5_6d-250,QuantumKitchenSinks,0.6,0.948
mnist_3-5_6d-250,QuantumKitchenSinks,1.0,0.952
mnist_3-5_6d-250,QuantumKitchenSinks,1.5,0.968
mnist_3-5_6d-250,QuantumKitchenSinks,3.0,0.916
mnist_3-5_6d-250,QuantumKitchenSinks,10.0,0.568
mnist_3-5_6d-250,ProjectedQuantumKernel,0.01,0.548
mnist_3-5_6d-250,ProjectedQuantumKernel,0.1,0.86
mnist_3-5_6d-250,ProjectedQuantumKernel,0.3,0.912
mnist_3-5_6d-250,ProjectedQuantumKernel,0.6,0.936
mnist_3-5_6d-250,ProjectedQuantumKernel,1.0,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,1.5,0.952
mnist_3-5_6d-250,ProjectedQuantumKernel,3.0,0.888
mnist_3-5_6d-250,ProjectedQuantumKernel,10.0,0.8
mnist_3-5_6d-250,ProjectedQuantumKernel,0.01,0.548
mnist_3-5_6d-250,ProjectedQuantumKernel,0.1,0.848
mnist_3-5_6d-250,ProjectedQuantumKernel,0.3,0.924
mnist_3-5_6d-250,ProjectedQuantumKernel,0.6,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,1.0,0.968
mnist_3-5_6d-250,ProjectedQuantumKernel,1.5,0.952
mnist_3-5_6d-250,ProjectedQuantumKernel,3.0,0.936
mnist_3-5_6d-250,ProjectedQuantumKernel,10.0,0.832
mnist_3-5_6d-250,ProjectedQuantumKernel,0.01,0.548
mnist_3-5_6d-250,ProjectedQuantumKernel,0.1,0.832
mnist_3-5_6d-250,ProjectedQuantumKernel,0.3,0.928
mnist_3-5_6d-250,ProjectedQuantumKernel,0.6,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,1.0,0.944
mnist_3-5_6d-250,ProjectedQuantumKernel,1.5,0.936
mnist_3-5_6d-250,ProjectedQuantumKernel,3.0,0.896
mnist_3-5_6d-250,ProjectedQuantumKernel,10.0,0.82
mnist_3-5_6d-250,ProjectedQuantumKernel,0.01,0.548
mnist_3-5_6d-250,ProjectedQuantumKernel,0.1,0.904
mnist_3-5_6d-250,ProjectedQuantumKernel,0.3,0.936
mnist_3-5_6d-250,ProjectedQuantumKernel,0.6,0.964
mnist_3-5_6d-250,ProjectedQuantumKernel,1.0,0.948
mnist_3-5_6d-250,ProjectedQuantumKernel,1.5,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,3.0,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,10.0,0.9
mnist_3-5_6d-250,ProjectedQuantumKernel,0.01,0.548
mnist_3-5_6d-250,ProjectedQuantumKernel,0.1,0.8
mnist_3-5_6d-250,ProjectedQuantumKernel,0.3,0.888
mnist_3-5_6d-250,ProjectedQuantumKernel,0.6,0.948
mnist_3-5_6d-250,ProjectedQuantumKernel,1.0,0.94
mnist_3-5_6d-250,ProjectedQuantumKernel,1.5,0.936
mnist_3-5_6d-250,ProjectedQuantumKernel,3.0,0.876
mnist_3-5_6d-250,ProjectedQuantumKernel,10.0,0.836
mnist_3-5_6d-250,IQPKernelClassifier,0.01,0.548
mnist_3-5_6d-250,IQPKernelClassifier,0.1,0.552
mnist_3-5_6d-250,IQPKernelClassifier,0.3,0.92
mnist_3-5_6d-250,IQPKernelClassifier,0.6,0.952
mnist_3-5_6d-250,IQPKernelClassifier,1.0,0.948
mnist_3-5_6d-250,IQPKernelClassifier,1.5,0.908
mnist_3-5_6d-250,IQPKernelClassifier,3.0,0.64
mnist_3-5_6d-250,IQPKernelClassifier,10.0,0.536
mnist_3-5_6d-250,IQPKernelClassifier,0.01,0.548
mnist_3-5_6d-250,IQPKernelClassifier,0.1,0.552
mnist_3-5_6d-250,IQPKernelClassifier,0.3,0.92
mnist_3-5_6d-250,IQPKernelClassifier,0.6,0.952
mnist_3-5_6d-250,IQPKernelClassifier,1.0,0.948
mnist_3-5_6d-250,IQPKernelClassifier,1.5,0.908
mnist_3-5_6d-250,IQPKernelClassifier,3.0,0.64
mnist_3-5_6d-250,IQPKernelClassifier,10.0,0.536
mnist_3-5_6d-250,IQPKernelClassifier,0.01,0.548
mnist_3-5_6d-250,IQPKernelClassifier,0.1,0.552
mnist_3-5_6d-250,IQPKernelClassifier,0.3,0.92
mnist_3-5_6d-250,IQPKernelClassifier,0.6,0.952
mnist_3-5_6d-250,IQPKernelClassifier,1.0,0.948
mnist_3-5_6d-250,IQPKernelClassifier,1.5,0.908
mnist_3-5_6d-250,IQPKernelClassifier,3.0,0.64
mnist_3-5_6d-250,IQPKernelClassifier,10.0,0.536
mnist_3-5_6d-250,IQPKernelClassifier,0.01,0.548
mnist_3-5_6d-250,IQPKernelClassifier,0.1,0.552
mnist_3-5_6d-250,IQPKernelClassifier,0.3,0.92
mnist_3-5_6d-250,IQPKernelClassifier,0.6,0.952
mnist_3-5_6d-250,IQPKernelClassifier,1.0,0.948
mnist_3-5_6d-250,IQPKernelClassifier,1.5,0.908
mnist_3-5_6d-250,IQPKernelClassifier,3.0,0.64
mnist_3-5_6d-250,IQPKernelClassifier,10.0,0.536
mnist_3-5_6d-250,IQPKernelClassifier,0.01,0.548
mnist_3-5_6d-250,IQPKernelClassifier,0.1,0.552
mnist_3-5_6d-250,IQPKernelClassifier,0.3,0.92
mnist_3-5_6d-250,IQPKernelClassifier,0.6,0.952
mnist_3-5_6d-250,IQPKernelClassifier,1.0,0.948
mnist_3-5_6d-250,IQPKernelClassifier,1.5,0.908
mnist_3-5_6d-250,IQPKernelClassifier,3.0,0.64
mnist_3-5_6d-250,IQPKernelClassifier,10.0,0.536
linearly_separable_6d,QuantumKitchenSinks,0.01,0.5666666666666667
linearly_separable_6d,QuantumKitchenSinks,0.1,0.5666666666666667
linearly_separable_6d,QuantumKitchenSinks,0.3,0.9666666666666667
