dataset,model,scaling,score
mnist_3-5_6d,CircuitCentricClassifier,0.01,0.8953732912723449
mnist_3-5_6d,CircuitCentricClassifier,0.1,0.8848580441640379
mnist_3-5_6d,CircuitCentricClassifier,0.3,0.8464773922187171
mnist_3-5_6d,CircuitCentricClassifier,0.6,0.8385909568874869
mnist_3-5_6d,CircuitCentricClassifier,1.0,0.8333333333333334
mnist_3-5_6d,CircuitCentricClassifier,1.5,0.8364879074658255
mnist_3-5_6d,CircuitCentricClassifier,3.0,0.8422712933753943
mnist_3-5_6d,CircuitCentricClassifier,10.0,0.841745531019979
mnist_3-5_6d,CircuitCentricClassifier,0.01,0.907465825446898
mnist_3-5_6d,CircuitCentricClassifier,0.1,0.8669821240799159
mnist_3-5_6d,CircuitCentricClassifier,0.3,0.8259726603575184
mnist_3-5_6d,CircuitCentricClassifier,0.6,0.8138801261829653
mnist_3-5_6d,CircuitCentricClassifier,1.0,0.8264984227129337
mnist_3-5_6d,CircuitCentricClassifier,1.5,0.8259726603575184
mnist_3-5_6d,CircuitCentricClassifier,3.0,0.8291272344900105
mnist_3-5_6d,CircuitCentricClassifier,10.0,0.8264984227129337
mnist_3-5_6d,CircuitCentricClassifier,0.01,0.9032597266035752
mnist_3-5_6d,CircuitCentricClassifier,0.1,0.8606729758149316
mnist_3-5_6d,CircuitCentricClassifier,0.3,0.832807570977918
mnist_3-5_6d,CircuitCentricClassifier,0.6,0.8385909568874869
mnist_3-5_6d,CircuitCentricClassifier,1.0,0.8349106203995794
mnist_3-5_6d,CircuitCentricClassifier,1.5,0.8080967402733964
mnist_3-5_6d,CircuitCentricClassifier,3.0,0.8501577287066246
mnist_3-5_6d,CircuitCentricClassifier,10.0,0.8438485804416404
mnist_3-5_6d,CircuitCentricClassifier,0.01,0.9232386961093586
mnist_3-5_6d,CircuitCentricClassifier,0.1,0.8638275499474237
mnist_3-5_6d,CircuitCentricClassifier,0.3,0.8359621451104101
mnist_3-5_6d,CircuitCentricClassifier,0.6,0.8249211356466877
mnist_3-5_6d,CircuitCentricClassifier,1.0,0.8212407991587802
mnist_3-5_6d,CircuitCentricClassifier,1.5,0.8270241850683491
mnist_3-5_6d,CircuitCentricClassifier,3.0,0.8259726603575184
mnist_3-5_6d,CircuitCentricClassifier,10.0,0.8191377497371188
mnist_3-5_6d,CircuitCentricClassifier,0.01,0.9185068349106204
mnist_3-5_6d,CircuitCentricClassifier,0.1,0.8543638275499474
mnist_3-5_6d,CircuitCentricClassifier,0.3,0.8391167192429022
mnist_3-5_6d,CircuitCentricClassifier,0.6,0.8217665615141956
mnist_3-5_6d,CircuitCentricClassifier,1.0,0.8217665615141956
mnist_3-5_6d,CircuitCentricClassifier,1.5,0.825446898002103
mnist_3-5_6d,CircuitCentricClassifier,3.0,0.8175604626708728
mnist_3-5_6d,CircuitCentricClassifier,10.0,0.8249211356466877
mnist_3-5_6d,DataReuploadingClassifier,0.01,0.9363827549947423
mnist_3-5_6d,DataReuploadingClassifier,0.1,0.9558359621451105
mnist_3-5_6d,DataReuploadingClassifier,0.3,0.9542586750788643
mnist_3-5_6d,DataReuploadingClassifier,0.6,0.9558359621451105
