model,scaling,score
IQPKernelClassifier,0.01,0.56
IQPKernelClassifier,0.01,0.56
IQPKernelClassifier,0.01,0.56
IQPKernelClassifier,0.1,0.572
IQPKernelClassifier,0.1,0.572
IQPKernelClassifier,0.1,0.572
IQPKernelClassifier,0.3,0.916
IQPKernelClassifier,0.3,0.916
IQPKernelClassifier,0.3,0.916
IQPKernelClassifier,0.6,0.94
IQPKernelClassifier,0.6,0.94
IQPKernelClassifier,0.6,0.94
IQPKernelClassifier,1.0,0.952
IQPKernelClassifier,1.0,0.952
IQPKernelClassifier,1.0,0.952
IQPKernelClassifier,1.5,0.924
IQPKernelClassifier,1.5,0.924
IQPKernelClassifier,1.5,0.924
IQPKernelClassifier,3.0,0.728
IQPKernelClassifier,3.0,0.728
IQPKernelClassifier,3.0,0.728
IQPKernelClassifier,10.0,0.56
IQPKernelClassifier,10.0,0.56
IQPKernelClassifier,10.0,0.56
ProjectedQuantumKernel,0.01,0.56
ProjectedQuantumKernel,0.01,0.56
ProjectedQuantumKernel,0.01,0.56
ProjectedQuantumKernel,0.1,0.856
ProjectedQuantumKernel,0.1,0.836
ProjectedQuantumKernel,0.1,0.84
ProjectedQuantumKernel,0.3,0.904
ProjectedQuantumKernel,0.3,0.908
ProjectedQuantumKernel,0.3,0.916
ProjectedQuantumKernel,0.6,0.916
ProjectedQuantumKernel,0.6,0.928
ProjectedQuantumKernel,0.6,0.94
ProjectedQuantumKernel,1.0,0.916
ProjectedQuantumKernel,1.0,0.932
ProjectedQuantumKernel,1.0,0.936
ProjectedQuantumKernel,1.5,0.928
ProjectedQuantumKernel,1.5,0.936
ProjectedQuantumKernel,1.5,0.948
ProjectedQuantumKernel,3.0,0.916
ProjectedQuantumKernel,3.0,0.876
ProjectedQuantumKernel,3.0,0.892
ProjectedQuantumKernel,10.0,0.764
ProjectedQuantumKernel,10.0,0.768
ProjectedQuantumKernel,10.0,0.772
QuantumKitchenSinks,0.01,0.524
QuantumKitchenSinks,0.01,0.608
QuantumKitchenSinks,0.01,0.616
QuantumKitchenSinks,0.1,0.452
QuantumKitchenSinks,0.1,0.372
QuantumKitchenSinks,0.1,0.508
QuantumKitchenSinks,0.3,0.828
QuantumKitchenSinks,0.3,0.352
QuantumKitchenSinks,0.3,0.36
QuantumKitchenSinks,0.6,0.924
QuantumKitchenSinks,0.6,0.664
QuantumKitchenSinks,0.6,0.768
QuantumKitchenSinks,1.0,0.96
QuantumKitchenSinks,1.0,0.816
QuantumKitchenSinks,1.0,0.892
QuantumKitchenSinks,1.5,0.944
QuantumKitchenSinks,1.5,0.852
QuantumKitchenSinks,1.5,0.924
QuantumKitchenSinks,3.0,0.84
QuantumKitchenSinks,3.0,0.768
QuantumKitchenSinks,3.0,0.796
QuantumKitchenSinks,10.0,0.556
QuantumKitchenSinks,10.0,0.488
QuantumKitchenSinks,10.0,0.5
