,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5180046081542968,0.04038275193634503,0.00044302940368652345,7.961038769723867e-06,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.8958333333333334,0.9583333333333334,0.8333333333333334,0.8958333333333334,0.9375,0.9041666666666668,0.04289845892077916,2
1,0.11210045814514161,0.025240381979513983,0.00045261383056640627,1.995812734356559e-05,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.8958333333333334,0.9375,0.8541666666666666,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.026352313834736508,5
2,0.023940038681030274,0.003491990080341195,0.0004292964935302734,3.578871740590597e-05,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.9166666666666666,0.875,0.8125,0.9166666666666666,0.9583333333333334,0.8958333333333333,0.04930066485916347,8
3,0.3912776470184326,0.05272714329562872,0.0004421234130859375,7.245100876649306e-06,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.8541666666666666,0.9166666666666666,0.8541666666666666,0.875,0.8958333333333334,0.8791666666666667,0.02429563289518876,17
4,0.07993078231811523,0.015890840639439928,0.0004124164581298828,2.6056173020091888e-05,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.9166666666666666,0.8958333333333334,0.8541666666666666,0.9166666666666666,0.9166666666666666,0.9,0.024295632895188747,3
5,0.053973054885864256,0.005002481603988906,0.00047059059143066405,8.689268394570277e-05,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.875,0.9791666666666666,0.75,0.7916666666666666,0.9166666666666666,0.8625,0.08291561975888499,23
6,0.45885939598083497,0.24284321601341674,0.0004587650299072266,1.4079540660065138e-05,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.8958333333333334,0.9583333333333334,0.8125,0.875,0.9375,0.8958333333333334,0.05103103630798289,5
7,0.11329145431518554,0.059825792561469145,0.00041146278381347655,2.7979169432463886e-05,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.8541666666666666,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.875,0.8666666666666668,0.04289845892077918,22
8,0.05594544410705567,0.023114414340637934,0.0004401206970214844,4.415831338039484e-05,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.5,0.8541666666666666,0.8333333333333334,0.9375,0.9166666666666666,0.8083333333333333,0.15888063304114683,27
9,0.4435717105865479,0.035272764563136244,0.00044317245483398436,4.433303565662177e-06,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.8541666666666666,0.9791666666666666,0.8125,0.9166666666666666,0.9375,0.9,0.05951190357119041,3
