,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,41.2989040851593,12.99967329836704,1.5455729961395264,0.01124595189129551,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 1}",0.4375,0.5416666666666666,0.6041666666666666,0.5,0.625,0.5416666666666666,0.06846531968814576,16,0.3739130434782609,0.6365217391304349,0.5756521739130435,0.5576923076923077,0.5874125874125874,0.5462383703253268,0.09004308483298383,17
1,48.55602579116821,5.126347184788501,2.1708259105682375,0.07847360977659879,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 5}",0.6458333333333334,0.4791666666666667,0.4791666666666667,0.6041666666666666,0.5208333333333334,0.5458333333333334,0.067700320038633,15,0.5669565217391304,0.5930434782608696,0.4852173913043479,0.6608391608391607,0.4020979020979021,0.5416308908482821,0.08960713279544412,20
2,52.245034313201906,7.295496887961052,3.003896617889404,0.01760247364969093,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 10}",0.4583333333333333,0.5625,0.3958333333333333,0.5625,0.375,0.4708333333333333,0.0797130269571208,36,0.4469565217391305,0.5547826086956522,0.3582608695652174,0.5804195804195804,0.3846153846153846,0.46500699300699305,0.08895289943354788,36
3,217.8013559818268,34.690764486277146,3.6731950283050536,0.025911194015774512,32,0.001,1,5,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 1}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5666666666666667,0.03333333333333335,8,0.5617391304347825,0.6452173913043477,0.5495652173913044,0.611888111888112,0.5314685314685315,0.5799756764974155,0.04215494191125553,9
4,250.27928619384767,41.619750968963615,4.478030157089234,0.059632718722600904,32,0.001,1,5,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 5}",0.4791666666666667,0.5416666666666666,0.6041666666666666,0.5625,0.4583333333333333,0.5291666666666667,0.053683744694688014,17,0.49913043478260877,0.6313043478260869,0.5895652173913044,0.6765734265734267,0.3881118881118881,0.5569370629370629,0.1027146483636346,13
5,307.4121677875519,47.15349562949099,5.666527175903321,0.12016618817300763,32,0.001,1,5,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 10}",0.5625,0.3125,0.5416666666666666,0.5625,0.4583333333333333,0.4875,0.09556120784316428,34,0.5373913043478261,0.2347826086956522,0.5252173913043479,0.5891608391608392,0.47202797202797203,0.4717160231073275,0.12418249792923211,34
6,325.3850475788116,56.746819838790955,7.182843828201294,0.18972812661673197,32,0.001,1,10,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 1}",0.6458333333333334,0.6041666666666666,0.6666666666666666,0.5833333333333334,0.4791666666666667,0.5958333333333333,0.06535161308899216,5,0.6869565217391305,0.7252173913043478,0.6504347826086957,0.6153846153846154,0.5052447552447552,0.636647613256309,0.07521237141196835,3
7,378.18322682380676,17.08727397665693,8.261777544021607,0.06403825730381998,32,0.001,1,10,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 5}",0.6458333333333334,0.3958333333333333,0.5416666666666666,0.4375,0.5625,0.5166666666666667,0.08975274678557507,22,0.6469565217391304,0.4278260869565218,0.6260869565217392,0.46853146853146854,0.5926573426573427,0.5524116752812406,0.08779971150608774,16
8,378.43816022872926,70.66017331186366,9.921042251586915,0.022148580336162394,32,0.001,1,10,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 10}",0.375,0.6041666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5291666666666667,0.08498365855987976,17,0.4052173913043478,0.6260869565217392,0.48173913043478256,0.5734265734265734,0.5541958041958042,0.5281331711766495,0.07692384955093003,24
9,474.32969269752505,57.97962164053194,11.684469747543336,0.3022277395309938,32,0.001,1,15,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'repeats': 1}",0.4583333333333333,0.5625,0.625,0.4791666666666667,0.5,0.525,0.06095307849303248,19,0.5356521739130434,0.6486956521739131,0.5895652173913044,0.5856643356643356,0.4825174825174825,0.5684189723320158,0.055931459115591886,10
