,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002501249313354492,0.0005155542538029642,0.0015579700469970704,0.00032270511221481465,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.5,0.5,0.5,0.5,0.8333333333333334,0.5666666666666667,0.13333333333333336,16
1,0.005789661407470703,0.006438177712483817,0.001528167724609375,0.00017664725840158452,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.6458333333333334,0.7916666666666666,0.7708333333333334,0.7708333333333334,0.8541666666666666,0.7666666666666667,0.06770032003863298,14
2,0.0022129058837890626,0.00015350132468201208,0.001403951644897461,9.296522210349882e-05,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.8541666666666666,0.9166666666666666,0.75,0.8541666666666666,0.8958333333333334,0.8541666666666666,0.05743353646704259,11
3,0.002547740936279297,5.8263764356587106e-05,0.0015212059020996093,7.371486069737271e-05,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.9375,0.9375,0.9375,0.8958333333333334,0.7916666666666666,0.9,0.05651941652604392,6
4,0.0025588035583496093,0.0004436632063578698,0.0015323638916015625,0.00013424819865699096,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.6458333333333334,0.7916666666666666,0.7708333333333334,0.7708333333333334,0.8541666666666666,0.7666666666666667,0.06770032003863298,14
5,0.002162647247314453,0.00017872537327185046,0.0014702320098876954,0.00021431486258308372,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.8541666666666666,0.8208333333333334,0.025000000000000015,13
6,0.001956272125244141,0.0001343765183796786,0.0012522697448730468,4.5535476976995075e-05,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.9375,0.9166666666666666,0.8541666666666666,0.8333333333333334,0.9375,0.8958333333333333,0.04370036867375631,7
7,0.0025265693664550783,0.00044993620996293686,0.0016363143920898437,0.00053374588758143,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.9375,0.9375,0.9375,0.9166666666666666,0.9375,0.9333333333333332,0.008333333333333349,5
8,0.004786348342895508,0.0032472197513223125,0.0013538360595703124,0.00010421969616062935,10.0,0.001,"{'C': 10.0, 'gamma': 0.001}",0.8541666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.9166666666666666,0.8458333333333334,0.04082482904638629,12
9,0.00222320556640625,0.0004980604496632861,0.0016002178192138672,0.0007853100111189196,10.0,0.01,"{'C': 10.0, 'gamma': 0.01}",0.9166666666666666,0.9375,0.8333333333333334,0.7916666666666666,0.9375,0.8833333333333332,0.05980291706003052,9
10,0.0022137641906738283,0.0009805645675504994,0.0012327194213867187,0.00045909183763938446,10.0,0.1,"{'C': 10.0, 'gamma': 0.1}",0.9791666666666666,0.9375,0.9583333333333334,0.9166666666666666,0.9791666666666666,0.9541666666666666,0.02429563289518875,1
11,0.0032700061798095702,0.0009410867214585092,0.0012354373931884766,0.00011902445769343235,10.0,1.0,"{'C': 10.0, 'gamma': 1.0}",0.9375,0.9166666666666666,0.9583333333333334,0.9375,0.9375,0.9375,0.013176156917368271,3
12,0.0023946285247802733,0.0003460328900355649,0.0011925697326660156,5.348595490709793e-05,100.0,0.001,"{'C': 100.0, 'gamma': 0.001}",0.9375,0.9375,0.8333333333333334,0.7916666666666666,0.8958333333333334,0.8791666666666667,0.05803495115493383,10
13,0.002399158477783203,0.0005559436718092632,0.0021137237548828126,0.0018082692096006634,100.0,0.01,"{'C': 100.0, 'gamma': 0.01}",0.9375,0.9166666666666666,0.8333333333333334,0.8541666666666666,0.9375,0.8958333333333333,0.04370036867375631,7
14,0.002189302444458008,0.0003259462101750215,0.002212238311767578,0.0022732258718214243,100.0,0.1,"{'C': 100.0, 'gamma': 0.1}",0.9583333333333334,0.9166666666666666,0.9791666666666666,0.9375,0.9791666666666666,0.9541666666666666,0.024295632895188747,1
15,0.0024030208587646484,0.00033563175096660593,0.0013047218322753905,0.00014156512254525093,100.0,1.0,"{'C': 100.0, 'gamma': 1.0}",0.9375,0.9166666666666666,0.9583333333333334,0.9375,0.9375,0.9375,0.013176156917368271,3
