,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1489224910736084,0.019942043354964308,0.00037508010864257814,1.2603663936001295e-05,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9916666666666666,0.010206207261596593,4
1,0.0653261661529541,0.019246183216300353,0.0011580467224121093,0.0015145531062859372,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,1
2,0.034616708755493164,0.00790760593170557,0.0003411293029785156,3.280223775719395e-05,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.9166666666666666,0.9583333333333334,1.0,0.9791666666666666,0.9791666666666666,0.9666666666666666,0.02825970826302196,17
3,0.11041536331176757,0.005949955229202825,0.0003639698028564453,1.206558201825688e-05,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9625,0.027638539919628335,19
4,0.027717161178588866,0.0009092813058517833,0.00034203529357910154,2.421121594867096e-05,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.9791666666666666,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9375,0.9666666666666666,0.016666666666666646,17
5,0.07864217758178711,0.01327481765654965,0.00036215782165527344,3.842668503869983e-05,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",1.0,0.9791666666666666,0.9583333333333334,1.0,0.9791666666666666,0.9833333333333334,0.015590239111558081,12
6,0.0960618019104004,0.005576433483523483,0.0003720760345458984,1.6145427338681618e-05,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.9791666666666666,0.9791666666666666,0.9791666666666666,1.0,0.9583333333333334,0.9791666666666666,0.013176156917368235,15
7,0.07270832061767578,0.029995807947009224,0.00038299560546875,9.67474274763732e-06,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",1.0,0.9791666666666666,0.9791666666666666,1.0,0.9791666666666666,0.9875,0.010206207261596593,9
8,0.06084132194519043,0.024008534151574237,0.00034198760986328127,3.6613394007264474e-05,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.9166666666666666,0.9166666666666666,1.0,0.9583333333333334,0.9375,0.9458333333333332,0.031180478223116197,27
9,0.1081456184387207,0.0035130124494343953,0.00036864280700683595,1.274806105987478e-05,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9916666666666666,0.010206207261596593,4
