,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_temperature,param_visible_qubits,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,10750.089921569825,667.4500732699431,3.155528688430786,0.3059470841932273,32,0.01,32,10.0,all,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'all'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,6355.659336185456,522.553088719765,3.3491283893585204,0.3136489940006836,32,0.001,32,10.0,all,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'all'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2,8516.593464899062,740.6132019018825,3.0704082012176515,0.3007448409887119,32,0.1,32,100.0,all,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'all'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,12516.852650499344,793.0782522380408,2.910604906082153,0.3990076854020138,32,0.001,32,100.0,all,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'all'}",1.0,0.9791666666666666,1.0,0.9791666666666666,1.0,0.9916666666666666,0.0102062072615965,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
4,6691.493020868302,505.6477477179593,3.230572319030762,0.2896453216026675,32,0.01,32,10.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'half'}",1.0,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9833333333333332,0.0083333333333333,6.0,1.0,0.9982517482517484,1.0,1.0,1.0,0.9996503496503496,0.0006993006993006,5.0
5,12390.774169635772,99.61542643561498,2.9289389133453367,0.3616562318865982,32,0.001,32,1.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'single'}",1.0,0.9791666666666666,0.9791666666666666,0.9583333333333334,1.0,0.9833333333333332,0.015590239111558,6.0,1.0,0.9982517482517484,1.0,1.0,1.0,0.9996503496503496,0.0006993006993006,5.0
6,6624.590853309632,1772.800386639877,2.889201402664185,0.2272627545433521,32,0.01,32,10.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'single'}",1.0,1.0,0.9791666666666666,0.9375,0.9791666666666666,0.9791666666666666,0.0228217732293819,8.0,1.0,1.0,1.0,0.9965034965034965,1.0,0.9993006993006992,0.0013986013986014,7.0
7,5687.022312641144,1035.5771569775206,3.079684209823609,0.1647169174489794,32,0.01,32,100.0,all,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'all'}",1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666,0.0102062072615965,4.0,1.0,1.0,0.9895104895104896,1.0,1.0,0.997902097902098,0.0041958041958041,8.0
8,9415.354523468017,1179.3556075301117,2.905070304870605,0.3180825909533806,32,0.01,32,100.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'half'}",0.9375,0.9791666666666666,0.9166666666666666,0.9375,0.9583333333333334,0.9458333333333332,0.0212459146399699,10.0,0.9965034965034965,1.0,0.9965034965034966,1.0,0.991304347826087,0.996862268166616,0.0031886873424857,9.0
9,8457.636101484299,544.631199099597,3.260860967636108,0.3767498631020045,32,0.01,32,100.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'single'}",0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9375,0.9375,0.9416666666666668,0.0155902391115581,11.0,1.0,1.0,0.986013986013986,0.9965034965034966,0.9843478260869566,0.9933730617208878,0.0068299797561396,10.0
