,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_vmap,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,780.5980561256408,2.0437850453483852,372.9588276386261,2.749326823021541,0.1,500,1,"{'C': 0.1, 'max_vmap': 500, 'repeats': 1}",0.52,0.54,0.56,0.56,0.54,0.544,0.014966629547095779,10,,,,,,,,1
1,1648.9091739177704,30.103268163563424,839.4716791152954,5.534745886448522,0.1,500,5,"{'C': 0.1, 'max_vmap': 500, 'repeats': 5}",0.52,0.54,0.54,0.54,0.54,0.536,0.008000000000000007,11,,,,,,,,1
2,2751.588077020645,57.91535946587043,1296.0429823875427,48.319564496810614,0.1,500,10,"{'C': 0.1, 'max_vmap': 500, 'repeats': 10}",0.52,0.54,0.54,0.54,0.54,0.536,0.008000000000000007,11,,,,,,,,1
3,705.0014354705811,32.76738383942116,360.83342852592466,9.209789336821022,1.0,500,1,"{'C': 1.0, 'max_vmap': 500, 'repeats': 1}",0.92,0.96,0.88,0.96,0.96,0.9359999999999999,0.03199999999999997,3,,,,,,,,1
4,1701.4449696063996,14.50387572392279,710.888697195053,84.8232223484286,1.0,500,5,"{'C': 1.0, 'max_vmap': 500, 'repeats': 5}",0.88,0.84,0.86,0.9,0.92,0.8800000000000001,0.028284271247461926,4,,,,,,,,1
5,2804.9258586883543,52.50333262898845,1194.1651628017426,83.11141098896638,1.0,500,10,"{'C': 1.0, 'max_vmap': 500, 'repeats': 10}",0.58,0.54,0.58,0.56,0.66,0.5840000000000001,0.04079215610874228,9,,,,,,,,1
6,740.8807361602783,43.696809536741405,352.8179844379425,7.312850118604879,10.0,500,1,"{'C': 10.0, 'max_vmap': 500, 'repeats': 1}",0.92,0.94,0.9,1.0,0.98,0.9480000000000001,0.0370944739819828,1,,,,,,,,1
7,1698.1732039928436,22.452477968916615,797.1943750858306,80.15028518505162,10.0,500,5,"{'C': 10.0, 'max_vmap': 500, 'repeats': 5}",0.88,0.84,0.86,0.9,0.92,0.8800000000000001,0.028284271247461926,4,,,,,,,,1
8,2396.420878696442,443.60828356450963,915.4106440067292,60.508192342527934,10.0,500,10,"{'C': 10.0, 'max_vmap': 500, 'repeats': 10}",0.62,0.58,0.56,0.54,0.64,0.588,0.0370944739819828,7,,,,,,,,1
9,757.1565054893493,40.45245221258015,358.3244896888733,12.806876747447435,100.0,500,1,"{'C': 100.0, 'max_vmap': 500, 'repeats': 1}",0.92,0.94,0.9,1.0,0.98,0.9480000000000001,0.0370944739819828,1,,,,,,,,1
10,1238.8839915275573,7.470076354349658,577.6055535316467,47.35185762113744,100.0,500,5,"{'C': 100.0, 'max_vmap': 500, 'repeats': 5}",0.88,0.84,0.86,0.9,0.92,0.8800000000000001,0.028284271247461926,4,,,,,,,,1
11,1865.2376860618592,143.60820687617803,553.3120511054992,83.92003439785177,100.0,500,10,"{'C': 100.0, 'max_vmap': 500, 'repeats': 10}",0.62,0.58,0.56,0.54,0.64,0.588,0.0370944739819828,7,,,,,,,,1
