,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.001581096649169922,0.0003055740752451974,0.0008488655090332031,0.00014846220585836413,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.74,0.72,0.84,0.78,0.82,0.78,0.045607017003965515,1
1,0.0014969825744628907,5.2221049479524685e-05,0.0008914470672607422,4.964009941819701e-05,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.74,0.7,0.8,0.76,0.82,0.764,0.04270831300812525,7
2,0.0016985893249511718,0.00012696729320777047,0.0008875846862792969,1.6794147848783596e-05,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.76,0.68,0.76,0.7,0.7,0.7200000000000001,0.033466401061363026,10
3,0.001816701889038086,8.949973062457635e-05,0.0010670661926269532,7.884925958373067e-05,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.52,0.52,0.52,0.52,0.54,0.524,0.008000000000000007,16
4,0.0015138626098632813,4.029276808337065e-05,0.0009231090545654297,5.1531604384576706e-05,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.74,0.7,0.84,0.76,0.82,0.772,0.0515363949069005,3
5,0.001560211181640625,7.446679047432664e-05,0.0009325504302978516,6.779705527239436e-05,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.72,0.7,0.82,0.74,0.82,0.7599999999999999,0.050596442562694056,9
6,0.0019308090209960937,4.8212363446621694e-05,0.0010259151458740234,6.364838391799171e-05,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.78,0.74,0.8,0.76,0.78,0.772,0.02039607805437116,3
7,0.0021349430084228516,9.143501402377436e-05,0.0011181354522705079,1.4580928690808404e-05,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.66,0.62,0.76,0.66,0.68,0.676,0.0463033476111609,13
8,0.0016074657440185546,6.388735354378421e-05,0.0009415626525878906,5.4835112186248836e-05,10.0,0.001,"{'C': 10.0, 'gamma': 0.001}",0.72,0.7,0.82,0.78,0.82,0.7679999999999999,0.049959983987187186,6
9,0.0019540309906005858,0.00013618292259754647,0.0008848190307617187,2.5155770134763852e-05,10.0,0.01,"{'C': 10.0, 'gamma': 0.01}",0.72,0.74,0.82,0.76,0.82,0.772,0.041182520563947986,3
10,0.0016834259033203125,0.00045369301319535667,0.0006852626800537109,0.0001740003814580041,10.0,0.1,"{'C': 10.0, 'gamma': 0.1}",0.7,0.68,0.76,0.7,0.72,0.712,0.027129319932501072,11
11,0.002028942108154297,0.00036004195815431405,0.0009168148040771485,0.0001360411147579752,10.0,1.0,"{'C': 10.0, 'gamma': 1.0}",0.7,0.6,0.74,0.7,0.68,0.684,0.0463033476111609,12
12,0.0013195991516113282,0.00012884792957942623,0.000563955307006836,5.213960855966314e-05,100.0,0.001,"{'C': 100.0, 'gamma': 0.001}",0.74,0.68,0.8,0.78,0.82,0.764,0.04963869458396341,7
13,0.0032681941986083983,0.0007280557259461838,0.0006981849670410156,0.00017227880384818045,100.0,0.01,"{'C': 100.0, 'gamma': 0.01}",0.74,0.76,0.84,0.76,0.8,0.7799999999999999,0.03577708763999663,2
14,0.0028141021728515627,0.0008203871323526024,0.0007124900817871094,0.00015898372990380828,100.0,0.1,"{'C': 100.0, 'gamma': 0.1}",0.7,0.6,0.76,0.68,0.62,0.6719999999999999,0.05741080037762931,14
15,0.001806926727294922,0.0004130141884922985,0.0006924629211425781,0.00013742614006493056,100.0,1.0,"{'C': 100.0, 'gamma': 1.0}",0.66,0.56,0.7,0.64,0.64,0.64,0.045607017003965494,15
