,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_encoding_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,3.431038665771484,0.49611737014603435,2.6571256637573244,0.02485129961970196,0.1,1,"{'C': 0.1, 'encoding_layers': 1}",0.88,0.84,0.86,0.8,0.82,0.8400000000000001,0.028284271247461894,9,1.0,0.9452495974235104,0.9756493506493507,0.9788961038961039,0.9318181818181818,0.9663226467574294,0.02455147596501724,7
1,5.0533127784729,0.7931541435162044,6.75927734375,0.8324439379431574,0.1,3,"{'C': 0.1, 'encoding_layers': 3}",0.74,0.76,0.84,0.84,0.8,0.7959999999999999,0.04079215610874226,11,0.9967793880837359,0.9677938808373591,0.9285714285714285,0.9399350649350648,0.9253246753246753,0.9516808875504527,0.02705610714467257,8
2,6.411287021636963,0.3589440507413088,10.454817247390746,0.6329210459980711,0.1,5,"{'C': 0.1, 'encoding_layers': 5}",0.54,0.54,0.56,0.56,0.56,0.552,0.009797958971132722,15,0.9307568438003221,0.9533011272141707,0.9204545454545454,0.8944805194805195,0.9594155844155844,0.9316817240730284,0.023440990457160714,12
3,14.186352491378784,1.7014042674838377,25.371677207946778,2.2770772255337373,0.1,10,"{'C': 0.1, 'encoding_layers': 10}",0.54,0.54,0.56,0.56,0.56,0.552,0.009797958971132722,15,0.5603864734299517,0.8357487922705313,0.8896103896103896,0.7483766233766234,0.6331168831168832,0.7334478323608759,0.12254928218276535,14
4,2.524172067642212,0.08739330744492872,2.7858910083770754,0.21820881521473962,1.0,1,"{'C': 1.0, 'encoding_layers': 1}",1.0,0.88,0.92,0.96,0.92,0.9359999999999999,0.04079215610874227,2,1.0,0.9645732689210951,0.9837662337662338,1.0,0.9805194805194805,0.9857717966413618,0.013310674109350808,3
5,4.318048906326294,0.22646158471390226,6.440098810195923,0.3620589784516461,1.0,3,"{'C': 1.0, 'encoding_layers': 3}",0.94,0.84,0.88,0.86,0.9,0.884,0.0344093010681705,6,0.9903381642512077,0.9742351046698873,0.9659090909090909,0.9594155844155844,0.9756493506493507,0.9731094589790242,0.010429898505506694,6
6,6.56072735786438,0.4369039510954721,10.548851251602173,0.6135212570545316,1.0,5,"{'C': 1.0, 'encoding_layers': 5}",0.86,0.84,0.86,0.74,0.86,0.8320000000000001,0.0466476151587624,10,0.9355877616747182,0.9677938808373591,0.935064935064935,0.9025974025974025,0.9821428571428571,0.9446373674634543,0.02787031159001361,11
7,14.487711668014526,1.368394194532879,26.35331335067749,2.982416616969792,1.0,10,"{'C': 1.0, 'encoding_layers': 10}",0.54,0.64,0.7,0.64,0.64,0.632,0.05153639490690048,14,0.5797101449275363,0.8373590982286634,0.887987012987013,0.7451298701298701,0.6274350649350648,0.7355242382416295,0.11804135344615653,13
8,2.4778964042663576,0.05516797761926034,2.74368896484375,0.10028024443689179,10.0,1,"{'C': 10.0, 'encoding_layers': 1}",1.0,0.9,0.92,0.92,0.92,0.932,0.034871191548325374,3,1.0,0.9790660225442834,0.9821428571428572,0.9951298701298702,0.9788961038961039,0.9870469707426229,0.008801099069326477,2
9,4.301162481307983,0.16388628621619547,6.302926254272461,0.27224879677209873,10.0,3,"{'C': 10.0, 'encoding_layers': 3}",0.96,0.88,0.9,0.86,0.86,0.892,0.03709447398198281,4,0.9967793880837359,0.9694041867954911,0.9821428571428571,0.948051948051948,0.9983766233766234,0.9789510006901312,0.01871516642140976,4
