,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,8.392063236236572,0.583566535027228,0.9290480613708496,0.12052565678556813,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'repeats': 1}",0.7503245348334054,0.7234963219385547,0.7021645021645022,0.7303030303030303,0.7272727272727273,0.7267122233024441,0.015386240282146621,19,0.7721637936867112,0.731571618894673,0.7229319540340592,0.7582890388447114,0.7501482335378002,0.747020927799591,0.017820627797241993,21
1,12.653601169586182,0.8682311241488294,1.4017814159393311,0.0786684367331996,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'repeats': 5}",0.5577672003461704,0.5755084379056685,0.5606060606060606,0.5619047619047619,0.5662337662337662,0.5644040453992856,0.00618666679242663,31,0.6849888363491479,0.6956877392734806,0.666383492954016,0.6770284668588937,0.6761285312689994,0.6800434133409075,0.009800120116790212,29
2,7.167880535125732,1.8586233549068283,1.8110862255096436,0.0884362572487164,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'repeats': 10}",0.5387278234530506,0.5478147987884033,0.5341991341991342,0.5268398268398269,0.5463203463203463,0.5387803859201522,0.0077722480661071855,36,0.5831319866787951,0.5686378440801523,0.5624687731379762,0.5452962563883388,0.5690098601638545,0.5657089440898233,0.01224919133766635,35
3,14.051558828353881,0.7447661256604217,2.309167814254761,0.07676921093460644,32,0.001,5,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'repeats': 1}",0.7806144526179143,0.7468628299437473,0.7411255411255411,0.7653679653679654,0.7675324675324675,0.7603006513175271,0.014414487537699533,11,0.8532509904451177,0.8375293594011735,0.8375277655712935,0.8517017511121278,0.8705025794140486,0.8501024891887523,0.012205258266598887,9
4,15.146893548965455,0.9429033263231776,2.774425220489502,0.12335011823171439,32,0.001,5,5,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'repeats': 5}",0.7070532237126785,0.7096495023799221,0.7121212121212122,0.7086580086580087,0.7341991341991342,0.7143362162141912,0.010066688247889602,21,0.7753234451703114,0.7803721313496754,0.7943541833460748,0.7820786405253939,0.8162205113078863,0.7896697823398684,0.01467497161622881,18
5,15.988699388504028,1.516135587514995,3.414080095291138,0.08095214433738077,32,0.001,5,10,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'repeats': 10}",0.6321938554738209,0.6140199048031155,0.6255411255411255,0.6134199134199134,0.5952380952380952,0.6160825788952142,0.012608522898585023,29,0.6771833018846648,0.6474969700797253,0.684174527308079,0.6820796939617031,0.649340398379514,0.6680549783227372,0.016203246617063946,30
6,20.129148244857788,1.2259071874274416,4.373335552215576,0.10078441035184435,32,0.001,10,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'repeats': 1}",0.789701427953267,0.7654694937256599,0.7502164502164502,0.7731601731601732,0.7727272727272727,0.7702549635565645,0.012784054688502574,6,0.8667165334796761,0.8606259228851457,0.8529779139553222,0.8644475779994341,0.8817690807413784,0.8653074058121912,0.009461969540956152,5
7,22.490081596374512,0.8857518781022264,5.129121541976929,0.1909361002958599,32,0.001,10,5,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'repeats': 5}",0.7797490263954998,0.7537862397230636,0.7601731601731602,0.7597402597402597,0.7588744588744589,0.7624646289812884,0.00894010260059391,10,0.854995075965449,0.833449116887257,0.8462735443015115,0.8407708444947419,0.8519357644636805,0.845484869222528,0.007742886457850114,12
8,24.435470294952392,1.3593537510738711,5.9442767143249515,0.30807310496688733,32,0.001,10,10,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'repeats': 10}",0.6412808308091735,0.6023366508005192,0.6653679653679654,0.641991341991342,0.6199134199134199,0.6341780417764841,0.021455359340329393,27,0.7126100390163959,0.6495502485587203,0.7097542182599641,0.7222622695231846,0.7045449757107686,0.6997443502138067,0.025749850262917758,27
9,27.887425041198732,2.0115856982127647,7.07029013633728,0.24075400033514774,32,0.001,15,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15, 'repeats': 1}",0.7940285590653396,0.7793163132842925,0.7658008658008658,0.7753246753246753,0.7909090909090909,0.7810759008768529,0.010334044907764104,1,0.8745641665601672,0.8676105281835215,0.8637176971280316,0.8670601000463511,0.8920709353912463,0.8730046854618635,0.010165009084936397,3
