,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,377.46703310012816,154.1440621025826,1.611704206466675,0.03510453517478441,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1}",1.0,0.875,1.0,1.0,0.9791666666666666,0.9708333333333334,0.0485912657903775,9,1.0,0.984375,1.0,1.0,1.0,0.996875,0.00625,9
1,551.584038066864,145.44463041235426,5.6131007194519045,0.0607760597401736,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,1395.855522251129,287.3398373698658,15.098402166366578,0.2979149444469642,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,1846.1180979251862,406.62518512524866,29.51856412887573,2.2898003513506437,32,0.001,1,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,190.8890738964081,133.19950969328679,1.5076041221618652,0.10861602905543678,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1}",1.0,0.9375,1.0,1.0,0.9791666666666666,0.9833333333333334,0.02429563289518875,7,1.0,0.9947916666666666,1.0,1.0,1.0,0.9989583333333332,0.002083333333333348,7
5,609.981896018982,208.5230861501075,5.538094472885132,0.3143743142331859,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,673.3225144863129,495.48320374862607,14.612270879745484,0.5183625743222476,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
7,816.3321171283721,469.13339408412463,31.899971628189085,2.6364145617636985,32,0.01,1,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15}",1.0,1.0,1.0,0.9375,0.9375,0.975,0.03061862178478973,8,1.0,1.0,1.0,0.9965277777777777,0.9947826086956522,0.998262077294686,0.00219889165421804,8
8,52.06759080886841,38.60858073011316,1.4490603923797607,0.1606905688323358,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1}",1.0,0.8333333333333334,1.0,0.9375,0.9166666666666666,0.9375,0.06180165405913052,10,1.0,0.9427083333333333,1.0,0.96875,0.9391304347826087,0.9701177536231883,0.026454709586674178,10
9,507.6065104007721,58.87729839154843,5.543404150009155,0.21155275019934836,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5}",1.0,1.0,1.0,1.0,0.9791666666666666,0.9958333333333333,0.008333333333333349,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
10,1517.3921085834504,288.45039916324504,10.58500862121582,5.315105542068131,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10}",,1.0,1.0,1.0,1.0,,,11,,1.0,1.0,1.0,1.0,,,11
11,1482.8079907417298,684.6979867443919,20.677420091629028,10.62742204558481,32,0.1,1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15}",1.0,1.0,0.9791666666666666,,1.0,,,11,1.0,1.0,1.0,,1.0,,,11
