,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,209.9206033229828,65.88387295337436,2.772732877731323,0.17920164967941035,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 1}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,34,0.5625,0.7065972222222222,0.6197916666666666,0.7008695652173913,0.6973913043478261,0.6574299516908213,0.05714834459300533,36
1,466.12142357826235,100.61727398903466,5.88454384803772,2.057550075899267,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 5}",0.5208333333333334,0.5416666666666666,0.625,0.5625,0.625,0.575,0.04289845892077916,30,0.6909722222222222,0.6736111111111112,0.6562500000000001,0.8608695652173913,0.7495652173913043,0.7262536231884058,0.07427166466975252,30
2,810.605574798584,263.3135092676926,5.677946138381958,1.4185451353977883,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 10}",0.5833333333333334,0.6666666666666666,0.6875,0.75,0.6458333333333334,0.6666666666666667,0.05432668671002206,25,0.7569444444444445,0.7725694444444444,0.8072916666666666,0.8713043478260869,0.7582608695652174,0.793274154589372,0.04303409041905909,20
3,884.2097489356995,285.70300166479785,7.840047073364258,2.4814664498027637,32,0.001,1,5,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 1}",0.5,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.5833333333333334,0.5333333333333334,0.028259708263021956,33,0.6493055555555556,0.7777777777777778,0.7534722222222223,0.7773913043478261,0.7182608695652174,0.7352415458937199,0.04814899484725075,29
4,921.5290012836456,158.09012360796373,8.679370737075805,3.1523054674037128,32,0.001,1,5,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 5}",0.6458333333333334,0.6875,0.6458333333333334,0.8958333333333334,0.625,0.7000000000000001,0.1,21,0.7829861111111112,0.701388888888889,0.7378472222222223,0.942608695652174,0.7634782608695653,0.7856618357487923,0.08309001645136198,22
5,1737.5496757507324,363.38443870650303,12.537761783599853,4.239219626022771,32,0.001,1,5,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 10}",0.625,0.8125,0.7291666666666666,0.6875,0.7083333333333334,0.7125,0.06095307849303246,17,0.7465277777777778,0.8229166666666666,0.8940972222222222,0.8017391304347826,0.8226086956521739,0.8175778985507247,0.04734554783059559,16
6,1024.1784413337707,222.38276939767323,12.666272354125976,3.3407349877054884,32,0.001,1,10,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 1}",0.6875,0.8541666666666666,0.75,0.8125,0.7916666666666666,0.7791666666666666,0.056825757070774384,10,0.8090277777777778,0.8958333333333333,0.873263888888889,0.9182608695652175,0.8765217391304347,0.8745815217391304,0.03650292829281487,11
7,1493.650365781784,197.19533833534408,12.678678226470947,0.20552091546534318,32,0.001,1,10,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 5}",0.625,0.8958333333333334,0.6041666666666666,0.7708333333333334,0.8125,0.7416666666666667,0.11149240133549712,14,0.7395833333333334,0.935763888888889,0.6822916666666666,0.9217391304347826,0.9252173913043478,0.8409190821256038,0.10776382827974366,15
8,1829.7302043914794,132.41994193910605,15.101517295837402,0.3158790679832155,32,0.001,1,10,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 10}",0.7083333333333334,0.7916666666666666,0.6875,0.9375,0.8125,0.7875,0.08878031563609382,8,0.9305555555555555,0.8645833333333334,0.8506944444444445,0.9895652173913044,0.92,0.9110797101449275,0.04985408377174722,7
9,1341.5449478626251,38.78152275428432,17.99379482269287,0.8063625030496586,32,0.001,1,15,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'repeats': 1}",0.75,0.8125,0.75,0.7916666666666666,0.75,0.7708333333333333,0.02635231383473649,11,0.7847222222222223,0.8784722222222223,0.90625,0.937391304347826,0.8921739130434783,0.8798019323671497,0.05140237613731277,10
