,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.997556209564209,0.15466530791077782,0.0004131317138671875,8.075881689582673e-06,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.8125,0.8541666666666666,0.9375,0.9166666666666666,0.8958333333333334,0.8833333333333332,0.044876373392787536,1
1,0.1910351276397705,0.05231843535363973,0.00052642822265625,0.00021954180355539057,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.7708333333333334,0.8125,0.9375,0.9375,0.8541666666666666,0.8625,0.06666666666666667,4
2,0.05981040000915527,0.013930633933395418,0.0005249977111816406,0.00024348558527380624,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.7916666666666666,0.6875,0.7916666666666666,0.8958333333333334,0.7916666666666666,0.7916666666666666,0.06588078458684124,16
3,1.0771223068237306,0.2483397336683706,0.00042176246643066406,1.3884888887143334e-05,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.7083333333333334,0.8541666666666666,0.8333333333333334,0.8125,0.75,0.7916666666666667,0.05432668671002206,15
4,0.18974642753601073,0.07065856016010415,0.0005293846130371094,0.00023841450687745437,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.7083333333333334,0.9166666666666666,0.875,0.7916666666666666,0.7083333333333334,0.8,0.08498365855987973,14
5,0.08013291358947754,0.019530537666917955,0.0005473613739013672,0.0002763684738015723,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.7291666666666666,0.625,0.5,0.5416666666666666,0.6458333333333334,0.6083333333333333,0.08057949835755715,22
6,0.612371826171875,0.1413549074279463,0.0007795810699462891,0.000291845898985079,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.8541666666666666,0.8125,0.8541666666666666,0.875,0.8541666666666666,0.85,0.020412414523193145,8
7,0.1509695053100586,0.07178711239661908,0.00064544677734375,0.00027978752538156896,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8125,0.8541666666666666,0.8166666666666667,0.024295632895188764,11
8,0.09074540138244629,0.026355623848985963,0.00041322708129882814,9.328719126393646e-06,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.5208333333333334,0.6875,0.5208333333333334,0.5,0.5833333333333334,0.5625000000000001,0.06846531968814576,26
9,0.9292724132537842,0.15498070613932105,0.0005717277526855469,0.00030374358549504436,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.8125,0.8125,0.9166666666666666,0.8541666666666666,0.875,0.8541666666666666,0.03952847075210473,7
